"Achilles Davenport"
"Acolyte of Bahamut"
"Agent of the Iron Throne"
"Agent of the Shadow Thieves"
"Akroma's Will"
"Anara, Wolvid Familiar"
"Angelic Field Marshal"
"Arcane Signet"
"Archivist of Gondor"
"Astarion's Thirst"
"Bane's Contingency"
"Bastion Protector"
"Biowaste Blob"
"Bloodsworn Steward"
"Brotherhood Ambushers"
"Cactus Preserve"
"Campfire"
"Candlekeep Sage"
"Captain Vargus Wrath"
"Chain Assassination"
"Clan Crafter"
"Cloakwood Hermit"
"Cloudkill"
"Codsworth, Handy Helper"
"Command Beacon"
"Commander's Insight"
"Commander's Insignia"
"Commander's Plate"
"Commander's Sphere"
"Command Tower"
"Convergence of Dominion"
"Criminal Past"
"Crimson Honor Guard"
"Cultist of the Absolute"
"Deadly Rollick"
"Deflecting Swat"
"Demon of Wailing Agonies"
"Distract the Guards"
"Dragon Cultist"
"Drillworks Mole"
"Drown in Dreams"
"Dungeon Delver"
"Eagle Vision"
"Echo Storm"
"Empyrial Storm"
"Esior, Wardwing Familiar"
"Ezio Auditore da Firenze"
"Falthis, Shadowcat Familiar"
"Far Traveler"
"Feywild Visitor"
"Fierce Guardianship"
"Flamekin Herald"
"Flaming Fist"
"Flawless Maneuver"
"Folk Hero"
"Font of Magic"
"Forge of Heroes"
"Fury Storm"
"Genesis Storm"
"Geode Golem"
"Gray Harbor Merfolk"
"Guardian Augmenter"
"Guild Artisan"
"Hardy Outlander"
"Haunted One"
"Hellkite Courser"
"Henzie ""Toolbox"" Torre"
"Imposing Grandeur"
"Inspiring Leader"
"Ironsoul Enforcer"
"Jeska's Will"
"Jeska, Thrice Reborn"
"Jirina Kudro"
"Kamahl's Will"
"Kediss, Emberclaw Familiar"
"Keleth, Sunmane Familiar"
"Klauth's Will"
"Loyal Apprentice"
"Loyal Drake"
"Loyal Guardian"
"Loyal Subordinate"
"Loyal Unicorn"
"Majestic Genesis"
"Master Chef"
"Merciless Harlequin"
"Monastery Raid"
"Myth Unbound"
"Netherborn Altar"
"Next of Kin"
"Noble Heritage"
"Norn's Choirmaster"
"Obscuring Haze"
"Opal Palace"
"Overpowering Attack"
"Passionate Archaeologist"
"Path of Ancestry"
"Petty Larceny"
"Popular Entertainer"
"Raised by Giants"
"Restart Sequence"
"Reyhan, Last of the Abzan"
"Road of Return"
"Sage of the Beyond"
"Sakashima's Will"
"Sanctum of Eternity"
"Scion of Halaster"
"Shameless Charlatan"
"Siege-Gang Lieutenant"
"Skull Storm"
"Skyfire Phoenix"
"Skyhunter Strike Force"
"Slash the Ranks"
"Stinging Study"
"Stormsurge Kraken"
"Street Urchin"
"Study Hall"
"Stumpsquall Hydra"
"Sword Coast Sailor"
"Szat's Will"
"Tangleweave Armor"
"Tavern Brawler"
"Tevesh Szat, Doom of Fools"
"The Swarmlord"
"Thunderclap Drake"
"Thunderfoot Baloth"
"Timely Ward"
"Tome of Legends"
"Tyrant's Familiar"
"Veteran Soldier"
"Vexilus Praetor"
"Viewpoint Synchronization"
"Visions of Dominance"
"Visions of Dread"
"Visions of Duplicity"
"Visions of Glory"
"Visions of Ruin"
"War Room"
"We Ride at Dawn"
"Witch's Clinic"
"Yuriko, the Tiger's Shadow"
